,Kcalories,Glucides,Prot√©ines,Lipides
tostada-avec-guacamole,138,12.27,4.78,8.91
salade-taco-avec-chili-con-carne,111,10.18,6.67,5.03
taco-avec-boeuf-fromage-laitue,226,19.85,8.86,12.7
taco-avec-poulet-fromage-laitue,189,19.69,13.3,6.35
tamales-navajo,153,18.12,6.28,6.12
salade-taco,141,11.91,6.68,7.46
succotash,111,24.37,5.07,0.8
ragout-de-legumes,123,7,17,3
souffle-aux-epinards,169,5.9,7.89,12.95
quesadilla-au-poulet,294,24.04,15.05,15.25
pupusas-con-queso-tortillas-fourrees-au-fromage,256,22.39,11.72,13.25
tortillas-au-porc,232,23.02,11.51,10.43
emince-de-porc-sauce-barbecue,168,18.74,13.19,4.42
biscuits-a-la-cuillere,365,59.7,10.6,9.1
crepes-au-babeurre,227,28.7,6.8,9.3
crepes-aux-myrtilles,222,29,6.1,9.2
crepes-avec-beurre-sirop,224,39.18,3.56,6.03
croissant-au-beurre,406,45.8,8.2,21
croissant-au-fromage,414,47,9.2,20.9
croissant-aux-pommes,254,37.1,7.4,8.7
croissant-avec-oeuf-fromage,290,19.14,10.07,19.45
empanada-au-boeuf,335,31.19,11.31,18.37
enchilada-au-fromage,196,17.51,5.91,11.56
enchilada-au-fromage-boeuf,168,15.87,6.21,9.19
enchirito-au-fromage-boeuf-haricots,178,17.51,9.27,8.33
falafel,333,31.84,13.31,17.8
frijoles-au-fromage-haricots-frits,135,17.19,6.81,4.66
frites-16980,312,41.44,3.43,14.73
gefilte-fish-boulettes-de-poisson,84,7.41,9.07,1.73
gratin-de-pommes-de-terre,132,11.27,5.06,7.59
haricots-rouges-frits,144,15.47,5,6.93
houmous,177,20.12,4.86,8.59
hushpuppies-beignets-a-la-farine-de-mais,337,46,7.7,13.5
melange-aux-oeufs,555,23.97,35.6,34.5
muffin-anglais-au-beurre,300,48.19,7.73,9.14
muffin-anglais-avec-fromage-saucisse,338,25.28,13.28,20.67
muffin-anglais-avec-oeuf-fromage-saucisse,286,17.44,13.38,18.1
nachos-au-fromage,306,32.15,8.05,16.77
nachos-au-fromage-piments-jalapeno,298,29.45,8.24,16.74
nachos-au-sucre-et-a-la-cannelle,543,58.16,6.6,33.01
oeuf-poche,143,0.71,12.51,9.47
oeufs-brouilles,212,2.08,13.84,16.18
omelette,154,0.64,10.57,11.66
pain-perdu-au-beurre,264,26.7,7.66,13.9
pain-pique-nique,232,4.76,14.92,16.64
pate-imperial-nem,250,27.29,8.28,11.94
pate-imperial-au-porc-nem,222,29.5,9.94,7.17
pate-imperial-au-poulet-nem,197,28.54,10.44,4.51
pate-imperial-aux-legumes-nem,196,31.99,6.62,4.67
petit-pain-aux-oeufs,307,52,9.5,6.4
pomme-de-terre-au-four-a-la-creme-fraiche,130,16.56,2.21,7.39
pomme-de-terre-au-four-avec-sauce-au-fromage,160,15.71,4.94,9.71
pomme-de-terre-au-four-avec-sauce-au-fromage-bacon,151,14.86,6.16,8.66
porc-sauce-aigre-douce,270,23.34,8.91,15.66
poulet-au-citron,226,19.15,10.77,11.76
poulet-du-general-tao,295,23.99,12.9,16.36
poulet-kung-pao,129,6.87,9.76,6.98
riz-cantonnais,163,30.99,4.67,2.27
roule-jambon-fromage,241,4,13.6,18.7
sandwich-au-poulet-croustillant,278,26.36,11.72,13.93
sandwich-jambon-fromage,241,22.84,14.17,10.6
sandwich-jambon-fromage-oeuf,243,21.64,13.46,11.4
sandwich-oeuf-fromage,233,17.76,10.69,13.3
steak-a-la-mozzarella-pane,329,24.89,14.89,18.92
tamal-au-porc,174,15.75,7.35,9.04
anchois-crue,131,0,20.35,4.84
bar-cru,114,0,18.86,3.69
bar-cuit,146,0,24.18,4.73
tassergal-cuit,159,0,25.69,5.44
tassergal-cru,124,0,20.04,4.24
barbotte-cuite,115,0,24.76,1.04
barbotte-crue,90,0,19.31,0.81
stromatee-cuit,187,0,22.15,10.28
stromatee-cru,146,0,17.28,8.02
carpe-cuite,162,0,22.86,7.17
carpe-crue,127,0,17.83,5.6
poisson-chat-frit,229,8.04,18.09,13.33
poisson-chat-cuit,144,0,18.44,7.19
poisson-chat-cru,119,0,15.23,5.94
caviar,264,4,24.6,17.9
cisco-cru,98,0,18.99,1.91
cabillaud-cuit,105,0,22.83,0.86
cabillaud-cru,82,0,17.81,0.67
langoustine-cuite,87,0,17.52,1.3
langoustine-crue,72,0,14.85,0.97
tambour-bresilien-frit,221,7.54,18.2,12.67
tambour-bresilien-cru,104,0,17.78,3.17
lotte-de-riviere-cuite,112,0,24.35,0.88
lotte-de-riviere-crue,87,0,18.99,0.69
seiche-cuite,158,1.64,32.48,1.4
seiche-crue,79,0.82,16.24,0.7
viande-de-dauphin-cuite,109,0,23.72,0.9
viande-de-dauphin-crue,85,0,18.5,0.7
malachigan-cuit,153,0,22.49,6.32
malachigan-cru,119,0,17.54,4.93
caviar-de-courgettes-maayane,265,23,1.7,26.2
nuggets-colin-iglo,228.7234,18.8298,11.7021,11.7021
yakitori-saumon-japonais,116,2.7,10.9,6.9
seriole-cuite,187,0,29.67,6.72
seriole-crue,146,0,23.14,5.24
poisson-loup-cuit,123,0,22.44,3.06
poisson-loup-cru,96,0,17.5,2.39
merlan-cuit,116,0,23.48,1.69
merlan-cru,90,0,18.31,1.31
poisson-a-chair-blanche-cuit,172,0,24.47,7.51
poisson-a-chair-blanche-cru,134,0,19.09,5.86
thon-albacore-cuit,130,0,29.15,0.59
turbot-cuit,122,0,20.58,3.78
turbot-cru,95,0,16.05,2.95
salade-de-thon-rouge-cru,144,0,23.33,4.9
thon-albacore-cru,109,0,24.4,0.49
bonite-rayee-thon-cuite,132,0,28.21,1.29
truite-crue,148,0,20.77,6.61
truite-arc-en-ciel-cuite,168,0,23.8,7.38
truite-arc-en-ciel-crue,141,0,19.94,6.18
salade-de-thon,187,9.41,16.04,9.26
salade-de-thon-rouge-cuit,184,0,29.91,6.28
truite-cuite,190,0,26.63,8.47
tilapia-cru,96,0,20.08,1.7
dore-de-mer-cuit,147,0,24.49,4.69
dore-de-mer-cru,96,0,17.5,2.31
tilapia-cuit,128,0,26.15,2.65
espadon-cuit,172,0,23.45,7.93
espadon-cru,144,0,19.66,6.65
surimi,99,6.85,15.18,0.9
aiglefin-cru,74,0,16.32,0.45
aiglefin-cuit,90,0,19.99,0.55
alose-damerique-crue,197,0,16.93,13.77
alose-damerique-cuite,252,0,21.71,17.65
anguille-crue,184,0,18.44,11.66
anguille-cuite,236,0,23.65,14.95
bar-commun-cru,97,0,18.43,2
bar-commun-cuit,124,0,23.63,2.56
batonnets-de-poisson,290,9,23,18
brochet-cru,88,0,19.26,0.69
brochet-cuit,113,0,24.69,0.88
carangue-pompano-crue,164,0,18.48,9.47
carangue-pompano-cuite,211,0,23.69,12.14
charbonnier-cru,195,0,13.41,15.3
charbonnier-cuit,250,0,17.19,19.62
colin-cru,92,0,19.44,0.98
colin-cuit,118,0,24.92,1.26
crapet-soleil-cru,89,0,19.4,0.7
crapet-soleil-cuit,114,0,24.87,0.9
dore-jaune-cru,93,0,19.14,1.22
dore-jaune-cuit,119,0,24.54,1.56
eperlan-arc-en-ciel-cru,97,0,17.63,2.42
eperlan-arc-en-ciel-cuit,124,0,22.6,3.1
esturgeon-cru,105,0,16.14,4.04
esturgeon-cuit,135,0,20.7,5.18
filet-de-poisson-frit,232,16.97,14.66,12.29
flet-cru,70,0,12.41,1.93
flet-cuit,86,0,15.24,2.37
fletan-du-groenland-cru,186,0,14.37,13.84
fletan-du-groenland-cuit,239,0,18.42,17.74
fletan-cru,91,0,18.56,1.33
fletan-cuit,111,0,22.54,1.61
hareng-cru,158,0,17.96,9.04
hareng-cuit,203,0,23.03,11.59
hareng-fume,217,0,24.58,12.37
hoplostethe-orange-cru,76,0,16.41,0.7
hoplostethe-orange-cuit,105,0,22.64,0.9
julienne-crue,87,0,18.99,0.64
julienne-cuite,111,0,24.35,0.82
loquette-damerique-crue,79,0,16.64,0.91
loquette-damerique-cuite,102,0,21.33,1.17
lotte-crue,76,0,14.48,1.52
lotte-cuite,97,0,18.56,1.95
loup-de-mer-cru,91,0,19.39,0.92
loup-de-mer-cuit,117,0,24.86,1.18
maquereau-sale,305,0,18.5,25.1
maquereau-cru,205,0,18.6,13.89
maquereau-cuit,262,0,23.85,17.81
meduse-sechee,36,0,5.5,1.4
merou-cru,92,0,19.38,1.02
merou-cuit,118,0,24.84,1.3
morue-lingue-crue,85,0,17.66,1.06
morue-lingue-cuite,109,0,22.64,1.36
mulet-cru,117,0,19.35,3.79
mulet-cuit,150,0,24.81,4.86
nuggets-de-saumon,212,13.96,12.69,11.72
oeufs-de-poisson-crus,143,1.5,22.32,6.42
oeufs-de-poisson-cuits,204,1.92,28.62,8.23
poisson-lait-chanos-cru,148,0,20.53,6.73
poisson-lait-chanos-cuit,190,0,26.32,8.63
remora-cru,92,0,16.76,2.32
remora-cuit,119,0,21.49,2.97
requin-cru,130,0,20.98,4.51
requin-cuit,228,6.39,18.62,13.82
rondeau-mouton-cru,108,0,20.21,2.41
rondeau-mouton-cuit,126,0,26.02,1.63
sandwich-au-poisson,257,26.69,10.29,12.45
sandwich-au-poisson-et-fromage,279,26.39,11.26,14.64
saumon-argente-cru,160,0,21.27,7.67
saumon-argente-cuit,178,0,24.3,8.23
saumon-keta-cru,120,0,20.14,3.77
saumon-keta-cuit,154,0,25.82,4.83
saumon-rose-cru,127,0,20.5,4.4
saumon-rose-cuit,153,0,24.58,5.28
saumon-rouge-cru,142,0,21.31,5.61
saumon-rouge-cuit,169,0,25.4,6.69
saumon-royal-cru,179,0,19.93,10.43
saumon-royal-cuit,231,0,25.72,13.38
saumon-cru,208,0,20.42,13.42
saumon-cuit,206,0,22.1,12.35
sebaste-du-pacifique-cru,79,0,15.31,1.54
sebaste-du-pacifique-cuit,96,0,18.51,1.87
sebastes-cru,90,0,18.36,1.34
sebastes-cuit,109,0,22.23,1.62
spare-cru,105,0,18.88,2.73
spare-cuit,135,0,24.21,3.5
tambour-croca-cru,123,0,18.51,4.9
tambour-croca-cuit,158,0,23.73,6.28
truite-de-mer-crue,104,0,16.74,3.61
truite-de-mer-cuite,133,0,21.46,4.63
vivaneau-cru,100,0,20.51,1.34
vivaneau-cuit,128,0,26.3,1.72
tofu-azumaya-vitasoy,80,2.3,8.3,4.2
bacon-vegetarien,310,6.32,10.68,29.52
poulet-vegetarien,224,3.64,23.64,12.73
poulet-vegetarien-frit,234,8.51,21.28,12.77
boulettes-vegetariennes,197,8,21,9
pain-de-viande-vegetarien,197,8,21,9
miso,199,26.47,11.69,6.01
natt,212,14.36,17.72,11
okara,77,12.54,3.22,1.73
chips-de-soja,385,53.15,26.5,7.35
farine-de-soja,436,35.19,34.54,20.65
farine-de-soja-grillee,441,33.67,34.8,21.86
farine-de-soja-pauvre-en-matieres-grasses,375,34.93,45.51,8.9
farine-de-soja-crue,339,40.14,44.95,2.39
huile-de-soja,884,0,0,100
concentre-de-proteines-de-soja,328,25.41,63.63,0.46
isolat-de-proteines-de-soja,338,7.36,80.69,3.39
sauce-soja,53,4.93,8.14,0.57
lecithine-de-soja,763,0,0,100
margarine-de-soja,719,0.9,0.9,80.5
huile-de-soja-17325,884,0,0,100
fromage-de-soja,151,6.9,12.5,8.1
graines-de-soja-vertes-cuites,141,11.05,12.35,6.4
graines-de-soja-vertes-crues,147,11.05,12.95,6.8
soja-cuit,173,9.93,16.64,8.97
soja-grille-a-sec,451,32.72,39.58,21.62
soja-cru,446,30.16,36.49,19.94
germes-de-soja-cuites,81,6.53,8.47,4.45
germes-de-soja-crues,122,9.57,13.09,6.7
lait-de-soja,45,3.45,2.94,1.99
tofu-lacto-fermente-baies-roses-sojami,190,4.6,15.5,11.9
croc-tofou-aux-algues-soy,149,1.9,14,8.2
sojasun-amande-noisette-sojasun,84,14.5,3.4,3
yaourt-soja-nature-sojasun,46,0.7,4.6,2.7
steak-de-soja-sojasun,172,6,15.5,8
lait-de-soja-au-chocolat,63,9.95,2.26,1.53
lait-de-soja-a-la-vanille,54,6.28,3.27,1.75
vermicelles-de-soja,331,82.32,0.1,0.1
yaourt-au-tofu,94,15.96,3.5,1.8
koyadofu,480,14.56,47.94,30.34
tofu-frit,271,10.49,17.19,20.18
tofu-cru,76,1.88,8.08,4.78
tempeh,193,9.39,18.54,10.8
tempeh-cuit,196,9.35,18.19,11.38
lait-de-soja-pauvre-en-matieres-grasses,43,7.2,1.65,0.62
lait-de-soja-sans-matieres-grasses,28,4.14,2.47,0.04
lait-de-soja-au-chocolat-sans-matieres-grasses,44,8.51,2.47,0.04
lait-de-soja-a-la-vanille-leger,34,3.85,2.62,0.85
amarante-cuit,102,18.69,3.8,1.58
amarante-crue,371,65.25,13.56,7.02
orge-cuit,123,28.22,2.26,0.44
orge-cru,352,77.72,9.91,1.16
sarrasin-cru,343,71.5,13.25,3.4
sarrasin-cuit,92,19.94,3.38,0.62
boulgour-cuit,83,18.58,3.08,0.24
boulgour-sec,342,75.87,12.29,1.33
massette-quenouille,25,5.14,1.18,0
riz-brun-souffle,388,86,7.1,3.5
graines-de-coton-grillees,506,21.9,32.59,36.29
couscous-cuit,112,23.22,3.79,0.16
couscous-sec,376,77.43,12.76,0.64
kamut-cuit,146,30.46,6.45,0.91
kamut-cru,337,70.38,14.7,2.2
millet-cuit,119,23.67,3.51,1
millet-souffle,354,80,13,3.4
millet-cru,378,72.85,11.02,4.22
son-davoine-cuit,40,11.44,3.21,0.86
son-davoine-cru,246,66.22,17.3,7.03
avoine,389,66.27,16.89,6.9
mais-souffle,387,77.9,12.94,4.54
pop-corn-au-caramel,431,79.1,3.8,12.8
pop-corn-au-fromage,526,51.6,9.3,33.2
pop-corn-au-micro-ondes,532,54.41,8.69,31.07
pop-corn-a-lhuile,583,45.06,7.29,43.55
mais-a-eclater,375,74,10.87,4.31
quinoa-cuit,120,21.3,4.4,1.92
quinoa-sec,368,64.16,14.12,6.07
son-de-riz,316,49.69,13.35,20.85
pain-sans-gluten-nature-cie,212,45,2.8,2.4
cracotte-rustique-wasa,336,59.97,10,10.5
quinola-tomate-olives-bjorg,161,20,5.5,5.3
melange-3-quinoa-carrefour,361,59,12,9
galettes-roquefort-seigle-noix-cerealpes,256,30,6.6,11
pain-de-mie-complet-sans-croute-harry,274,40.4,7.8,4.8
panes-vegetarien-tartex,276,20.2,13.5,14.9
tartines-craquantes-au-quinoa-le-pain-des-fleurs,397,77,9.6,4.6
coquillettes-completes-bio-primeal,323,65.4,11,1.8
belvita-le-moelleux-nature-lu,386,46,6,10.18
pain-grille-au-froment-u,381,76,10,0
craquotte-craquotte,373.3333,74.6667,10.6667,2.6667
cereales-mediterranneennes-tipiak,370,70,12,3.2
biscuit-aux-raisins-gerble,452.5773,65.9794,10.3093,15
special-k-chocolat-au-lait-kelloggs,398,76,8,6
ble-cuit-ebly,341,75,12.1,1.4
cereales-fourre-au-chocolat-au-lait-crunch,461,71,5.7,16.5
special-k-kelloggs,375,79,9,1.5
ble-complet-cuit,62,13.7,2,0.4
ble-complet-sec,342,75.2,11.2,2
germe-de-ble,360,51.8,23.15,9.72
germe-de-ble-grille,382,49.6,29.1,10.7
ble-dur,339,71.13,13.68,2.47
ble-blanc,342,75.9,11.31,1.71
ble-souffle,364,79.6,14.7,1.2
ble-en-copeaux,337,78.76,11.37,2.21
ble-germe,198,42.53,7.49,1.27
son-de-ble,260,64.51,15.55,4.25
triticale,336,72.13,13.05,2.09
teff-cru,367,73.13,13.3,2.38
epeautre-cru,338,70.19,14.57,2.43
epeautre-cuit,127,26.44,5.5,0.85
seigle,338,75.86,10.34,1.63
semoule,360,72.83,12.68,1.05
sorgho,339,74.63,11.3,3.3
teff-cuit,101,19.86,3.87,0.65
frites,147,24.81,2.24,4.66
pommes-de-terre-sautees,166,27.5,2.51,5.13
pommes-de-terre-allumettes,199,31.66,2.9,6.76
soupe-epaisse-pommes-de-terre-jambon,80,5.6,2.7,5.2
galette-de-pommes-de-terre,268,27.81,6.08,14.76
bouchees-aux-pommes-de-terre,190,27.75,2.05,8.62
allumettes-de-pommes-de-terre,522,53.3,6.7,34.4
patate-au-four,93,21.15,2.5,0.13
pomme-de-terre-crue,77,17.47,2.02,0.09
pommes-de-terre-en-conserve,44,9.89,1.2,0.11
puree-de-pommes-de-terre,89,14.65,1.65,2.82
pomme-de-terre-cuite,87,20.13,1.87,0.1
pommes-de-terre-sautees-et-emincees,327,32.2,2.61,21.65
puree-de-pommes-de-terre-avec-lait-beurre,113,16.81,1.86,4.22
peau-de-pomme-de-terre-crue,58,12.44,2.57,0.1
pomme-de-terre-a-peau-rouge-cuite,89,19.59,2.3,0.15
pomme-de-terre-a-peau-rouge-crue,70,15.9,1.89,0.14
pomme-de-terre-russet-cuite,97,21.44,2.63,0.13
pomme-de-terre-russet-crue,79,18.07,2.14,0.08
pommes-de-terre-en-gratin,88,10.78,2.87,3.68
adobo-fresco,271,18.6,2,20.9
sauce-barbecue,172,40.77,0.82,0.63
sauce-barbecue-bulls-eye,170,39.95,0.91,0.67
sauce-barbecue-kraft,172,40.77,0.74,0.62
sauce-barbecue-mcdonalds,165,36.93,1.55,1.22
sauce-au-boeuf,53,4.81,3.75,2.36
sauce-au-bleu-legere,86,13.2,2.1,2.7
sauce-au-bleu,476,4.62,1.37,51.1
ketchup,112,26.23,1.25,0.18
sauce-au-fromage,197,5.48,10.33,14.92
sauce-aux-piments-verts,20,5,0.7,0.1
sauce-cocktail,124,28.22,1.36,1.05
sirop-de-mais-fonce,286,77.59,0,0
sirop-de-mais-leger,283,76.79,0,0.2
sirop-de-canneberge-sucre,151,38.9,0.2,0.15
sauce-a-lorange-aux-canneberges,178,46.2,0.3,0.1
sauce-ranch-sauce-cremeuse-mcdonalds,468,3.49,1.11,52.03
sauce-aigre-douce,245,60.61,0.36,0.13
sauce-au-poisson,35,3.64,5.06,0.01
vinaigrette-0,132,32.14,0.2,0.27
vinaigrette-allegee,233,29.28,0.58,13.46
vinaigrette,457,15.58,0.77,44.81
jus-de-viande,16,2.5,1.2,0.2
sauce-brune-instantanee,380,59.78,8.53,11.85
sauce-brune-en-poudre,367,59.38,10.74,9.61
sauce-au-boeuf-instantanee,369,61.1,9.8,9.48
sauce-a-la-dinde-instantanee,409,57.56,11.72,14.66
sauce-en-poudre,344,58,13,8
sauce-a-la-goyave-cuite,36,9.48,0.32,0.14
sauce-hoisin,220,44.08,3.31,3.39
ketchup-allege-en-sucre-rustica,66,13.2,1.2,0.2
sauce-a-salade-thomy,120,5.3333,0.6667,10.3333
sauce-brasil-la-william,554.3,15.7,1.2,52.6
mayonnaise-allegee-carrefour,290,8.1,1.2,28
sauce-hollandaise-la-ptite-sauce,222,3.9,1.4,22.3
pesto-rosso-barillla,324,10.7,3.8,29.5
sauce-au-poivre,564,3.5,1.2,61.4
sauce-worcestershire,78,19.46,0,0
vinaigre,18,0.04,0,0
vinaigre-de-vin-rouge,19,0.27,0.04,0
vinaigre-balsamique,88,17.03,0.49,0
vinaigre-de-cidre,21,0.93,0,0
sauce-pour-dinde-en-poudre,367,65.12,10.42,7.19
sauce-tomate-herbes-aromatiques-fromage,59,10.24,2.13,1.93
sauce-tomate-aux-champignons,35,8.43,1.45,0.13
sauce-tomate-aux-oignons,42,9.94,1.56,0.19
sauce-chili-a-la-tomate,104,19.79,2.5,0.3
sauce-tomate,29,6.69,1.32,0.18
sauce-tomate-a-lespagnole,33,7.24,1.44,0.27
sauce-teriyaki,89,15.56,5.93,0.02
sauce-tartare,211,13.3,1,16.7
sirop-derable,260,67.04,0.04,0.06
sirop-de-sorgho,290,74.9,0,0
sirop-derable-canadien,270,67.38,0,0
grenadine,268,66.91,0,0
sirop-dorge-malte,318,71.3,6.2,0
sauce-aigre-douce-17430,150,38.22,0.27,0.02
sauce-aigre-douce-mcdonalds,170,39.38,0.66,1.09
sauce-au-steak,95,22.04,1.25,0.23
vinaigrette-en-spray,165,16.6,0.16,10.75
assaisonnement-au-lait-fermente,202,21.33,1.25,12.42
assaisonnement-au-roquefort,99,2.9,5.1,7.2
assaisonnement-bacon-tomates,326,2,1.8,35
assaisonnement-sucre-sale,15,3.7,0.1,0
confit-de-cornichons,130,35.06,0.37,0.47
fausse-mayonnaise-0,84,15.5,0.2,2.7
mayonnaise-legere,238,9.23,0.37,22.22
melasse,290,74.73,0,0.1
raifort,48,11.29,1.18,0.69
salsa-con-queso,143,11.14,3.14,9.51
salsa-verde-sauce-verte,38,6.36,1.13,0.89
sauce-a-pizza,54,8.67,2.18,1.15
sauce-au-poivre-de-cayenne,11,1.75,0.51,0.37
sauce-au-porc-en-poudre,367,63.57,8.78,8.63
sauce-au-tabasco,12,0.8,1.29,0.76
sauce-au-vinaigre-a-lhuile,449,2.5,0,50.1
sauce-aux-champignons,50,5.47,1.26,2.71
sauce-aux-huitres,51,10.92,1.35,0.25
sauce-aux-oignons-en-poudre,322,67.64,9,3
sauce-aux-piments-rouges,21,3.9,0.9,0.6
sauce-aux-prunes,184,42.81,0.89,1.04
sauce-blanche,147,9.17,3.84,10.63
sauce-green-goddess,427,7.36,1.9,43.33
sauce-marinara,49,7.53,1.41,1.48
sauce-mayonnaise,688,0.3,0,77.8
sauce-salsa,29,6.72,1.54,0.17
sirop-de-nances,95,22.79,0.56,1.28
sirop-pour-pancake,265,69.6,0,0.1
sofregit,237,5.46,12.8,18.2
vinaigrette-a-la-creme-sure,178,4.68,3.25,16.57
vinaigrette-au-miel-et-a-la-moutarde,464,23.33,0.87,40.83
vinaigrette-au-miel-et-a-la-moutarde-0,169,38.43,1.07,1.47
vinaigrette-aux-graines-de-pavot,399,24.53,0.92,33.33
vinaigrette-cesar,542,3.3,2.17,57.85
vinaigrette-cesar-basses-calories,110,18.6,0.3,4.4
vinaigrette-italienne,240,12.12,0.41,21.12
vinaigrette-italienne-0,47,8.75,0.97,0.87
vinaigrette-pour-chou-en-salade,390,23.8,0.9,33.4
vinaigrette-pour-salade-de-choux-cru-allegee,329,40,0,20
vinaigrette-ranch,484,6.69,1.03,51.39
vinaigrette-ranch-allegee,196,21.33,1.25,12.42
vinaigrette-ranch-sans-matieres-grasses,119,26.51,0.25,1.92
tournedos,517,0.8,29.1,44.2
bacon,407,0.79,12.53,39.27
pain-de-viande-sauce-barbecue,173,6.4,15.84,8.9
chicken-nuggets,296,14.09,15.27,19.82
steak-de-poulet-pour-hamburger,287,12.84,14.85,19.58
salade-de-jambon,216,10.64,8.68,15.53
souris-dagneau-cuite,243,0,28.37,13.46
souris-dagneau-crue,201,0,18.91,13.38
viande-dagneau-cuite,271,0,25.51,18.01
viande-dagneau-crue,243,0,17.54,18.66
viande-dagneau-rotie,225,0,26.41,12.45
jarret-dagneau-cru,201,0,18.58,13.49
surlonge-dagneau-cuite,292,0,24.63,20.67
surlonge-dagneau-crue,272,0,16.94,22.11
gigot-dagneau-cuit,258,0,25.55,16.48
gigot-dagneau-cru,230,0,17.91,17.07
longe-dagneau-cuite,316,0,25.17,23.08
longe-dagneau-crue,310,0,16.32,26.63
cote-dagneau-cuite,359,0,21.12,29.82
cote-dagneau-crue,372,0,14.52,34.39
epaule-dagneau-cuite,344,0,28.68,24.55
epaule-dagneau-crue,264,0,16.58,21.45
viande-dagneau-hachee-cuite,283,0,24.75,19.65
viande-dagneau-hachee-crue,282,0,16.56,23.41
substitut-de-viande,313,38.32,38.11,2.97
mouton-cuit,234,0.08,33.43,11.09
salade-de-volaille,200,7.41,11.64,13.52
steak-de-saucisse-mcdonalds,405,1.4,15.19,39.58
roti-hache,213,14.06,8.06,13.87
